구분,에너지원,단위,MJ,kcal,석유환산톤(10-3toe)
석유,원유,kg,45.7,10920,1.092
석유,휘발유,L,32.4,7750,0.775
석유,등유,L,36.6,8740,0.874
석유,경유,L,37.8,9020,0.902
석유,바이오디젤,L,34.7,8280,0.828
석유,B-A유,L,39.0,9310,0.931
석유,B-B유,L,40.6,9690,0.969
석유,B-C유,L,41.8,9980,0.998
석유,프로판(LPG1호),kg,50.2,12000,1.2
석유,부탄(LPG3호),kg,49.3,11790,1.179
석유,나프타,L,32.2,7700,0.77
석유,용제,L,32.8,7830,0.783
석유,항공유,L,36.5,8720,0.872
석유,아스팔트,kg,41.4,9880,0.988
석유,윤활유,L,39.6,9450,0.945
석유,석유코크스,kg,34.9,8330,0.833
석유,부생연료유1호,L,37.3,8900,0.89
석유,부생연료유2호,L,39.9,9530,0.953
가스,천연가스(LNG),kg,54.7,13080,1.308
가스,도시가스(LNG),Nm3,42.7,10190,1.019
가스,도시가스(LPG),Nm3,63.4,15150,1.515
석탄,국내무연탄,kg,19.7,4710,0.471
석탄,연료용 수입무연탄,kg,23.0,5500,0.55
석탄,원료용 수입무연탄,kg,25.8,6170,0.617
석탄,연료용 유연탄(역청탄),kg,24.6,5860,0.586
석탄,원료용 유연탄(역청탄),kg,29.4,7030,0.703
석탄,아역청탄,kg,20.6,4920,0.492
석탄,코크스,kg,28.6,6840,0.684
전기,전기(발전기준),kWh,8.9,2130,0.213
전기,전기(소비기준),kWh,9.6,2290,0.229
전기,신탄,kg,18.8,4500,0.45
